Time,VehicleID,Speed,BrakeStatus,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
1970-01-01 00:00:00.000000031,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000031,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000031,4,1.18,1,NS_Green,East,0,4,0.0849532037437005
1970-01-01 00:00:00.000000031,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000031,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000031,4,0.4,1,NS_Green,East,0,4,0.028797696184305256
1970-01-01 00:00:00.000000032,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000032,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000032,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000032,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000032,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000032,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000033,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000033,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000033,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000033,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000033,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000033,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000034,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000034,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000034,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000034,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000034,5,11.39,0,NS_Green,North,0,0,0.8200143988480921
1970-01-01 00:00:00.000000034,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000034,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000035,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000035,5,8.89,1,NS_Green,North,0,4,0.6400287976961844
1970-01-01 00:00:00.000000035,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000035,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000035,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000035,5,6.39,1,NS_Green,North,0,4,0.4600431965442764
1970-01-01 00:00:00.000000035,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000035,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000036,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000036,5,3.89,1,NS_Green,North,0,4,0.28005759539236863
1970-01-01 00:00:00.000000036,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000036,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000036,5,5.39,1,NS_Green,North,0,4,0.38804895608351325
1970-01-01 00:00:00.000000036,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000036,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000036,6,10.0,0,NS_Green,East,0,0,0.7199424046076314
1970-01-01 00:00:00.000000037,5,6.89,1,NS_Green,North,0,4,0.496040316774658
1970-01-01 00:00:00.000000037,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000037,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000037,6,7.5,1,NS_Green,East,0,4,0.5399568034557235
1970-01-01 00:00:00.000000037,5,8.39,1,NS_Green,North,0,4,0.6040316774658028
1970-01-01 00:00:00.000000037,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000037,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000037,6,5.0,1,NS_Green,East,0,4,0.3599712023038157
1970-01-01 00:00:00.000000038,5,9.89,0,NS_Green,North,0,0,0.7120230381569475
1970-01-01 00:00:00.000000038,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000038,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000038,6,2.5,1,NS_Green,East,0,4,0.17998560115190784
1970-01-01 00:00:00.000000038,5,11.39,0,NS_Green,North,0,0,0.8200143988480921
1970-01-01 00:00:00.000000038,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000038,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000038,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000039,5,12.89,0,NS_Green,North,0,0,0.9280057595392369
1970-01-01 00:00:00.000000039,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
